"id","ItemID","ItemCode","Barcode","ArabicItemName","EnglishItemName","ArabicItemDetails","EnglishItemDetails","ItemQuantity","Price","image","Tax","Explain","CategoryID","TypeID","SaleByWeight","Invisible","updated_at"
"83193","1180","1180","6224001179143","النسر الذهبى رول اكياس ثلاجة 25*40","Alnesr alzahaby roll refrigerator bags 25*40",NULL,NULL,"0","14.50",NULL,"0.00",NULL,"132",NULL,"0","0","2022-01-23 00:03:28"
"83426","1413","1413","6221024002090","فيتراك مربى فراولة 650 جرام","Vitrac strawberry jam 650 gm",NULL,NULL,"0","21.00",NULL,"0.00",NULL,"98",NULL,"0","0","2022-01-23 00:04:54"
"83213","1200","1200","4014400913910","ويرذرس اورجينال زبدة الكراميل 125جرام","Werthers original creamy filling 125g",NULL,NULL,"-1","35.00",NULL,"0.00",NULL,"66",NULL,"0","0","2022-01-23 00:03:36"
"83205","1192","1192","6224001179204","النسر الذهبى رقائق ورق فويل 20 متر","Alnesr alzahaby aluminum foil 20 mt",NULL,NULL,"0","35.00",NULL,"0.00",NULL,"134",NULL,"0","0","2022-01-23 00:03:33"
"83202","1189","1189","6224001179259","النسر الذهبى ورق زبدة غذائى 40 سم*10 متر","Alnesr alzahaby Food butter paper 40cm *10 mt",NULL,NULL,"0","15.50",NULL,"0.00",NULL,"134",NULL,"0","0","2022-01-23 00:03:31"
"83200","1187","1187","6224001179150","النسر الذهبى رول مفارش سفرة 110*110","Alnesr alzahaby roll table cover 110*110",NULL,NULL,"0","14.25",NULL,"0.00",NULL,"134",NULL,"0","0","2022-01-23 00:03:30"
"83197","1184","1184","6224001179105","النسر الذهبى رول اكياس قمامة 70*90+ غطاء  قاعدة تواليت بلاستيك مجانا","Alnesr alzahaby Roll Garbage 70*90 +Free plastic toilet base cover",NULL,NULL,"0","37.00",NULL,"0.00",NULL,"133",NULL,"0","0","2022-01-23 00:03:29"
"83195","1182","1182","6224001179112","النسر الذهبى رول قمامة مشرشر 80*110","Alnesr alzahaby Roll Garbage Waste  80 * 110",NULL,NULL,"0","20.00",NULL,"0.00",NULL,"133",NULL,"0","0","2022-01-23 00:03:28"
"83194","1181","1181","6224001179099","النسر الذهبى رول اكياس قمامة 70*90","Alnesr alzahaby roll Garbage bags 70*90",NULL,NULL,"0","13.75",NULL,"0.00",NULL,"133",NULL,"0","0","2022-01-23 00:03:28"
"82498","485","485","6221143077603","كسترا للغسالات الاتوماتيك 2.5 كجم","X.tra automatic 2.5KG",NULL,NULL,"0","50.00",NULL,"0.00",NULL,"118",NULL,"0","0","2022-01-22 23:59:05"
"83191","1178","1178","6224001179136","النسر الذهبى رول اكياس ثلاجة 20*35","Alnesr alzahaby roll refrigerator bags 20 * 35",NULL,NULL,"0","13.00",NULL,"0.00",NULL,"132",NULL,"0","0","2022-01-23 00:03:27"
"83186","1173","1173","3698741258124","النسر الذهبى 50 كيس للثلاجة 20*35","Alnesr alzahaby 50 bags for refrigerator 20 * 35",NULL,NULL,"0","7.50",NULL,"0.00",NULL,"132",NULL,"0","0","2022-01-23 00:03:26"
"83183","1170","1170","3698741258148","النسر الذهبى اكياس قمامة 70*90","Alnesr alzahaby Garbage Bags 70 * 90",NULL,NULL,"0","9.00",NULL,"0.00",NULL,"133",NULL,"0","0","2022-01-23 00:03:25"
"83137","1124","1124","8000380186501","لواكر ويفر ليمون 90جرام","Loaker lemon wafer 75g",NULL,NULL,"0","23.00",NULL,"0.00",NULL,"106",NULL,"0","0","2022-01-23 00:03:07"
"82838","825","825","6223001384724","مان لوك جيل للشعر ويت لوك ازرق وفر 2ج 125جرام","Man look hair gel wet look 2le free 125g",NULL,NULL,"0","11.00",NULL,"0.00",NULL,"137",NULL,"0","0","2022-01-23 00:01:11"
"82751","738","738","6224007586242","ميلفا معطر جو ورد 400مل","Milva air freshener rose 400ml",NULL,NULL,"6","27.00",NULL,"0.00",NULL,"129",NULL,"0","0","2022-01-23 00:00:39"
"82622","609","609","6221024050039","فيتراك مربى تين 650 جرام","Vitrac fig jam 650 gm",NULL,NULL,"0","21.00",NULL,"0.00",NULL,"98",NULL,"0","0","2022-01-22 23:59:50"
"82586","573","573","6223000916018","شوجر ماتش محلى بدون سعرات 300 كيس يعادل ذ1 ملعقة من السكر","Sugar match no calorie sweetener 300 sachets",NULL,NULL,"0","105.00",NULL,"0.00",NULL,"182",NULL,"0","0","2022-01-22 23:59:36"
